Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$375,000",1136 Placid Rd,Griffin,GA,30224,2969,33.225506,-84.24677,https://www.zillow.com/homedetails/1136-Placid-Rd-Griffin-GA-30224/69900573_zpid/
"$400,000",4447 Coventry Ct,Roswell,GA,30075,1903,34.049625,-84.422195,https://www.zillow.com/homedetails/4447-Coventry-Ct-Roswell-GA-30075/14240599_zpid/
"$269,900",136 Pinto Ln,Fairmount,GA,30139,1355,34.43144,-84.692245,https://www.zillow.com/homedetails/136-Pinto-Ln-Fairmount-GA-30139/123587665_zpid/
"$230,000",2665 Rantin Dr,East Pt,GA,30344,998,33.682945,-84.47105,https://www.zillow.com/homedetails/2665-Rantin-Dr-East-Pt-GA-30344/35861435_zpid/
"$335,000",323 Mark Ave,Marietta,GA,30066,1522,33.99815,-84.54224,https://www.zillow.com/homedetails/323-Mark-Ave-Marietta-GA-30066/14263816_zpid/
"$544,900",4025 Forest Grove Pass NW,Acworth,GA,30101,2922,34.053402,-84.644455,https://www.zillow.com/homedetails/4025-Forest-Grove-Pass-NW-Acworth-GA-30101/60839548_zpid/
"$297,000",33 King Arnold Dr,Dallas,GA,30157,2122,33.872585,-84.83381,https://www.zillow.com/homedetails/33-King-Arnold-Dr-Dallas-GA-30157/237731030_zpid/
"$399,900",1374 Brookmere Way,Cumming,GA,30040,2012,34.230225,-84.115105,https://www.zillow.com/homedetails/1374-Brookmere-Way-Cumming-GA-30040/97989595_zpid/
"$310,000",1792 Marsh Creek Pl,Lawrenceville,GA,30043,1432,33.996067,-84.030334,https://www.zillow.com/homedetails/1792-Marsh-Creek-Pl-Lawrenceville-GA-30043/14815996_zpid/
"$350,000",527 N Mize Rd,Mount Airy,GA,30563,2612,34.59257,-83.496284,https://www.zillow.com/homedetails/527-N-Mize-Rd-Mount-Airy-GA-30563/89942621_zpid/
"$530,000",326 Fairwood Dr,Dallas,GA,30157,3297,34.001057,-84.75586,https://www.zillow.com/homedetails/326-Fairwood-Dr-Dallas-GA-30157/237701404_zpid/
